label src dest weight bw delay
edge_1_0 1 0 10 9920 133
edge_0_1 0 1 10 9920 133
edge_4_1 4 1 10 9920 1081
edge_1_4 1 4 10 9920 1081
edge_5_1 5 1 10 2480 591
edge_1_5 1 5 10 2480 591
edge_11_1 11 1 10 9920 901
edge_1_11 1 11 10 9920 901
edge_5_2 5 2 10 9920 260
edge_2_5 2 5 10 9920 260
edge_8_2 8 2 10 9920 1147
edge_2_8 2 8 10 9920 1147
edge_6_3 6 3 10 9920 745
edge_3_6 3 6 10 9920 745
edge_9_3 9 3 10 9920 1516
edge_3_9 3 9 10 9920 1516
edge_10_3 10 3 10 9920 1573
edge_3_10 3 10 10 9920 1573
edge_6_4 6 4 10 9920 1028
edge_4_6 4 6 10 9920 1028
edge_7_4 7 4 10 9920 2196
edge_4_7 4 7 10 9920 2196
edge_6_5 6 5 10 9920 903
edge_5_6 5 6 10 9920 903
edge_9_7 9 7 10 9920 505
edge_7_9 7 9 10 9920 505
edge_11_8 11 8 10 9920 336
edge_8_11 8 11 10 9920 336
edge_10_9 10 9 10 9920 1138
edge_9_10 9 10 10 9920 1138
