label x y
0_NL 4.88969 52.37403
1_BE 4.34878 50.85045
2_DK 12.56553 55.67594
3_PL 16.96667 52.41667
4_DE 8.68333 50.11667
5_CZ 14.42076 50.08804
6_LU 6.13 49.61167
7_FR 2.3488 48.85341
8_CH 7.44744 46.94809
9_IT 9.18951 45.46427
10_UA 0.0 0.0
11_MD 0.0 0.0
12_BG 23.32415 42.69751
13_RO 26.10626 44.43225
14_TR 34.91155 39.05901
15_GR 23.71622 37.97945
16_CY 33.36667 35.16667
17_IL 34.75 31.5
18_MT 14.42556 35.90917
19_BY 0.0 0.0
20_MK 21.43333 42.0
21_ME 19.26361 42.44111
22_HU 19.03991 47.49801
23_SK 17.10674 48.14816
24_PT -9.13333 38.71667
25_ES -3.70256 40.4165
26_RS 20.46513 44.80401
27_HR 15.97798 45.81444
28_SL 14.50513 46.05108
29_AT 16.37208 48.20849
30_LT 23.9 54.9
31_RU 37.61556 55.75222
32_IS -21.89541 64.13548
33_IE -6.26719 53.34399
34_UK -0.12574 51.50853
35_NO 10.0 62.0
36_SE 18.0649 59.33258
37_FI 22.26869 60.45148
38_EE 24.75353 59.43696
39_LV 24.10589 56.946
